,date,highest,lowest,weather,wind
63,2012-02-03  ,5℃,-1℃,晴~多云,北风~南风 3-4级
64,2012-02-04  ,8℃,2℃,多云~小雨,东南风 3-4级
65,2012-02-05  ,10℃,7℃,阴~小到中雨,西风~东风 3-4级
66,2012-02-06  ,9℃,1℃,中雨~雨夹雪,北风 4-5级~5-6级
67,2012-02-07  ,3℃,-2℃,多云,北风 5-6级~4-5级
68,2012-02-08  ,3℃,-1℃,多云,北风 4-5级~3-4级
69,2012-02-09  ,5℃,0℃,多云~阴,北风~东北风 3-4级
70,2012-02-10  ,4℃,2℃,小雨~阴,东北风 3-4级
71,2012-02-11  ,7℃,3℃,阴~小雨,东北风~东风 3-4级
72,2012-02-12  ,8℃,6℃,小雨~小到中雨,东风~东南风 4-5级~3-4级
73,2012-02-13  ,10℃,7℃,小雨,西北风~北风 3-4级
74,2012-02-14  ,8℃,4℃,小雨~中雨,东北风 3-4级
75,2012-02-15  ,7℃,3℃,小雨,东北风 4-5级
76,2012-02-16  ,7℃,1℃,阴,北风 3-4级~4-5级
77,2012-02-17  ,8℃,4℃,小雨~中雨,东北风 3-4级
78,2012-02-18  ,6℃,0℃,晴,北风 3-4级
79,2012-02-19  ,8℃,2℃,晴,东北风~东风 微风
80,2012-02-20  ,8℃,4℃,小雨~中雨,东北风 3-4级
81,2012-02-21  ,11℃,8℃,小雨,东南风~东风 3-4级
82,2012-02-22  ,12℃,8℃,中雨~小到中雨,东南风~东北风 3-4级~4-5级
83,2012-02-23  ,10℃,5℃,阴~小雨,北风 4-5级
84,2012-02-24  ,7℃,4℃,小雨~阴,北风 3-4级
85,2012-02-25  ,6℃,2℃,雨夹雪~阴,东北风 4-5级
86,2012-02-26  ,5℃,2℃,小雪~阴,北风 4-5级
87,2012-02-27  ,7℃,4℃,多云~小雨,北风~东北风 3-4级
88,2012-02-28  ,7℃,3℃,小雨~阴,东北风~东南风 3-4级~4-5级
89,2012-02-29  ,10℃,7℃,小雨,东风~东南风 3-4级
90,2012-08-01 星期三 ,34℃,27℃,多云,东南风~东风 3-4级~4-5级
91,2012-08-02 星期四 ,32℃,27℃,中到大雨,东北风~东南风 4-5级
92,2012-08-03 星期五 ,32℃,27℃,大雨转阵雨,东南风 5-6级~7-8级
93,2012-08-04 星期六 ,33℃,27℃,阵雨转多云,东南风 5-6级~4-5级
94,2012-08-05 星期日 ,34℃,27℃,多云,东北风 4-5级
95,2012-08-06 星期一 ,32℃,27℃,多云,东北风 4-5级
96,2012-08-07 星期二 ,30℃,26℃,阵雨转中雨,东北风 4-5级
97,2012-08-08 星期三 ,28℃,25℃,大雨转暴雨,东北风 5-6级~7-8级
98,2012-08-09 星期四 ,30℃,25℃,大雨转中雨,东风~东南风 6-7级~5-6级
99,2012-08-10 星期五 ,32℃,27℃,阵雨转多云,东南风 4-5级
100,2012-08-11 星期六 ,33℃,27℃,多云转阵雨,东南风 4-5级
101,2012-08-12 星期日 ,34℃,28℃,多云,东南风 4-5级~3-4级
102,2012-08-13 星期一 ,34℃,28℃,多云转雷阵雨,南风 3-4级
103,2012-08-14 星期二 ,35℃,28℃,多云,南风 3-4级
104,2012-08-15 星期三 ,36℃,28℃,多云,南风~东南风 3-4级
105,2012-08-16 星期四 ,35℃,28℃,多云,东南风 3-4级
106,2012-08-17 星期五 ,35℃,28℃,多云,东南风 3-4级
107,2012-08-18 星期六 ,35℃,28℃,多云,东南风 3-4级
108,2012-08-19 星期日 ,35℃,28℃,多云,南风 3-4级
109,2012-08-20 星期一 ,35℃,28℃,多云,南风~东南风 3-4级
110,2012-08-21 星期二 ,34℃,26℃,多云,南风~东南风 3-4级
111,2012-08-22 星期三 ,30℃,24℃,阵雨,东南风~北风 3-4级~4-5级
112,2012-08-23 星期四 ,29℃,25℃,阵雨,北风~东风 4-5级~3-4级
113,2012-08-24 星期五 ,29℃,24℃,阵雨转中雨,东北风~东南风 4-5级
114,2012-08-25 星期六 ,32℃,26℃,阵雨转多云,东北风 3-4级~4-5级
115,2012-08-26 星期日 ,32℃,25℃,多云转阵雨,东北风 4-5级~5-6级
116,2012-08-27 星期一 ,29℃,25℃,阵雨转大雨,东北风 5-6级~6-7级
117,2012-08-28 星期二 ,33℃,26℃,小雨转多云,北风~西风 6-7级~5-6级
118,2012-08-29 星期三 ,31℃,24℃,阵雨,西风~微风 小于3级
119,2012-08-30 星期四 ,32℃,26℃,阵雨转多云,东北风~西北风 4-5级
120,2012-08-31 星期五 ,32℃,26℃,多云,东风 3-4级
121,2013-01-01 星期二 ,9℃,0℃,晴,西风 3-4级
122,2013-01-02 星期三 ,7℃,1℃,晴转多云,北风 3-4级~4-5级
123,2013-01-03 星期四 ,3℃,1℃,阴,东北风 4-5级
124,2013-01-04 星期五 ,3℃,-2℃,阴转雨夹雪,西北风~北风 4-5级~3-4级
125,2013-01-05 星期六 ,5℃,0℃,雨夹雪转阴,北风 3-4级
126,2013-01-06 星期日 ,6℃,2℃,雨夹雪转阴,北风~东北风 3-4级
127,2013-01-07 星期一 ,5℃,1℃,雨夹雪转阴,北风 3-4级
128,2013-01-08 星期二 ,6℃,1℃,阴转雨夹雪,北风 3-4级
129,2013-01-09 星期三 ,6℃,2℃,阴转多云,东北风 4-5级
130,2013-01-10 星期四 ,6℃,0℃,晴,北风~东北风 3-4级
131,2013-01-11 星期五 ,9℃,1℃,晴转多云,东北风~东风 3-4级
132,2013-01-12 星期六 ,10℃,2℃,阴转多云,东南风~东北风 3-4级
133,2013-01-13 星期日 ,8℃,4℃,中雨,东北风 3-4级~4-5级
134,2013-01-14 星期一 ,10℃,3℃,多云转晴,东北风~北风 3-4级
135,2013-01-15 星期二 ,9℃,3℃,晴转多云,东风~东南风 3-4级
136,2013-01-16 星期三 ,8℃,3℃,晴转多云,西风~西北风 小于3级~3-4级
137,2013-01-17 星期四 ,5℃,1℃,多云,北风 4-5级
138,2013-01-18 星期五 ,6℃,-1℃,多云转晴,北风 3-4级
139,2013-01-19 星期六 ,10℃,0℃,晴,东南风 3-4级
140,2013-01-20 星期日 ,12℃,6℃,多云转阴,东南风 4-5级~3-4级
141,2013-01-21 星期一 ,11℃,8℃,小雨,西北风 小于3级~4-5级
142,2013-01-22 星期二 ,7℃,4℃,小雨转阴,西北风 3-4级
143,2013-01-23 星期三 ,9℃,2℃,多云,西北风 3-4级
144,2013-01-24 星期四 ,11℃,3℃,多云,西风~西北风 3-4级~4-5级
145,2013-01-25 星期五 ,9℃,1℃,多云转晴,西北风~西风 3-4级
146,2013-01-26 星期六 ,11℃,1℃,晴转多云,南风 3-4级
147,2013-01-27 星期日 ,8℃,2℃,多云转晴,东北风 3-4级
148,2013-01-28 星期一 ,11℃,1℃,晴,东风~东南风 3-4级
149,2013-01-29 星期二 ,14℃,6℃,多云转阴,东南风 3-4级
150,2013-01-30 星期三 ,15℃,6℃,晴,北风~东南风 3-4级
151,2013-01-31 星期四 ,17℃,9℃,多云,东南风 3-4级~4-5级
152,2013-02-01 星期五 ,16℃,10℃,小雨,南风~北风 4-5级
153,2013-02-02 星期六 ,11℃,7℃,小雨转多云,西北风~东北风 4-5级~3-4级
154,2013-02-03 星期日 ,13℃,6℃,多云转小雨,东风~东南风 3-4级
155,2013-02-04 星期一 ,12℃,8℃,小雨,南风~北风 3-4级
156,2013-02-05 星期二 ,9℃,6℃,中雨,东北风 4-5级
157,2013-02-06 星期三 ,7℃,4℃,阴,北风~东北风 4-5级~3-4级
158,2013-02-07 星期四 ,4℃,0℃,小雨转雨夹雪,北风 3-4级~4-5级
159,2013-02-08 星期五 ,3℃,0℃,小雪,北风~东北风 3-4级
160,2013-02-09 星期六 ,5℃,-1℃,小雪转阴,北风 3-4级
161,2013-02-10 星期日 ,8℃,0℃,晴转多云,西风~东北风 3-4级
162,2013-02-11 星期一 ,7℃,2℃,多云转小雨,东北风~东风 3-4级
163,2013-02-12 星期二 ,6℃,4℃,小雨,北风 4-5级~3-4级
164,2013-02-13 星期三 ,9℃,2℃,多云,北风~东南风 3-4级
165,2013-02-14 星期四 ,9℃,4℃,小雨,东南风~东北风 3-4级
166,2013-02-15 星期五 ,9℃,5℃,小雨转多云,北风~东北风 3-4级~4-5级
167,2013-02-16 星期六 ,10℃,3℃,多云转晴,东北风 3-4级
168,2013-02-17 星期日 ,12℃,6℃,阴转小雨,东南风~南风 4-5级~3-4级
169,2013-02-18 星期一 ,10℃,4℃,小雨转中雨,南风~北风 3-4级~4-5级
170,2013-02-19 星期二 ,3℃,0℃,中雨转雨夹雪,东北风 4-5级
171,2013-02-20 星期三 ,7℃,1℃,多云,东北风 3-4级
172,2013-02-21 星期四 ,10℃,3℃,多云转阴,东风 3-4级
173,2013-02-22 星期五 ,12℃,5℃,小雨转多云,东风~东北风 3-4级
174,2013-02-23 星期六 ,12℃,4℃,多云转晴,东北风 3-4级
175,2013-02-24 星期日 ,14℃,5℃,晴转多云,东风~东南风 3-4级~4-5级
176,2013-02-25 星期一 ,16℃,8℃,阴转小雨,东南风 4-5级~3-4级
177,2013-02-26 星期二 ,14℃,11℃,小雨,东南风~北风 3-4级
178,2013-02-27 星期三 ,12℃,8℃,阴转多云,北风~东北风 3-4级
179,2013-02-28 星期四 ,17℃,8℃,多云,东风~东南风 3-4级~4-5级
180,2013-03-01 星期五 ,13℃,4℃,中雨转大雨,南风~北风 4-5级
181,2013-03-02 星期六 ,7℃,3℃,阴转多云,北风 4-5级
182,2013-03-03 星期日 ,11℃,1℃,多云转晴,西北风~西风 3-4级
183,2013-03-04 星期一 ,16℃,4℃,晴,西风 3-4级
184,2013-03-05 星期二 ,17℃,6℃,晴,北风~东北风 3-4级
185,2013-03-06 星期三 ,21℃,9℃,晴,南风 3-4级
186,2013-03-07 星期四 ,22℃,12℃,多云,西南风~西风 4-5级~3-4级
187,2013-03-08 星期五 ,26℃,11℃,晴,西风~西南风 3-4级
188,2013-03-09 星期六 ,28℃,15℃,晴转多云,西南风 3-4级
189,2013-03-10 星期日 ,20℃,8℃,小雨,北风 4-5级
190,2013-03-11 星期一 ,11℃,6℃,小雨转阴,北风~东风 3-4级
191,2013-03-12 星期二 ,22℃,8℃,多云转晴,东南风~南风 3-4级
192,2013-03-13 星期三 ,15℃,6℃,中雨转小雨,南风~北风 4-5级
193,2013-03-14 星期四 ,10℃,4℃,阴转多云,北风~东北风 4-5级~3-4级
194,2013-03-15 星期五 ,14℃,4℃,晴,东北风~东南风 3-4级
195,2013-03-16 星期六 ,17℃,9℃,晴转小雨,东南风 3-4级
196,2013-03-17 星期日 ,19℃,12℃,中雨,东南风~南风 3-4级
197,2013-03-18 星期一 ,21℃,12℃,大雨转多云,南风~西北风 4-5级~3-4级
198,2013-03-19 星期二 ,21℃,12℃,晴转小雨,南风~东南风 3-4级
199,2013-03-20 星期三 ,14℃,6℃,中雨转阴,东北风~北风 3-4级~4-5级
200,2013-03-21 星期四 ,12℃,4℃,多云,东北风~东南风 4-5级~3-4级
201,2013-03-22 星期五 ,19℃,8℃,中雨转小雨,南风~北风 4-5级
202,2013-03-23 星期六 ,13℃,9℃,小雨转中雨,东北风~东风 4-5级
203,2013-03-24 星期日 ,13℃,7℃,小雨转阴,东风~东北风 3-4级~4-5级
204,2013-03-25 星期一 ,11℃,5℃,阴转晴,东北风 4-5级
205,2013-03-26 星期二 ,11℃,6℃,小雨,东北风~东风 3-4级
206,2013-03-27 星期三 ,16℃,7℃,阴转多云,东风~东北风 3-4级
207,2013-03-28 星期四 ,18℃,8℃,多云,东南风 小于3级~3-4级
208,2013-03-29 星期五 ,13℃,8℃,阴转多云,东北风 3-4级~4-5级
209,2013-03-30 星期六 ,16℃,8℃,多云转阴,东风~东南风 小于3级~3-4级
210,2013-03-31 星期日 ,16℃,9℃,多云,东北风 3-4级
211,2013-04-01 星期一 ,17℃,8℃,多云转阴,东南风 3-4级
212,2013-04-02 星期二 ,16℃,9℃,阴转晴,北风 4-5级
213,2013-04-03 星期三 ,17℃,6℃,晴转多云,东北风~东南风 3-4级
214,2013-04-04 星期四 ,19℃,11℃,阴转多云,东南风 3-4级~4-5级
215,2013-04-05 星期五 ,17℃,13℃,阴转中雨,东南风 4-5级
216,2013-04-06 星期六 ,13℃,7℃,小雨转多云,北风~西北风 4-5级~5-6级
217,2013-04-07 星期日 ,16℃,6℃,晴,西北风 4-5级~小于3级
218,2013-04-08 星期一 ,20℃,8℃,晴转多云,南风 4-5级~3-4级
219,2013-04-09 星期二 ,17℃,11℃,多云,西北风 4-5级
220,2013-04-10 星期三 ,18℃,9℃,多云转晴,西北风~西风 4-5级~3-4级
221,2013-04-11 星期四 ,19℃,9℃,晴转多云,西南风~西风 3-4级
222,2013-04-12 星期五 ,22℃,10℃,晴,西南风~西北风 3-4级
223,2013-04-13 星期六 ,27℃,13℃,晴,南风~西南风 3-4级
224,2013-04-14 星期日 ,26℃,14℃,多云转晴,西南风~东北风 4-5级~3-4级
225,2013-04-15 星期一 ,30℃,13℃,晴,南风 3-4级~4-5级
226,2013-04-16 星期二 ,28℃,19℃,多云转小雨,南风 4-5级
227,2013-04-17 星期三 ,24℃,17℃,阴转多云,西南风~东北风 3-4级
228,2013-04-18 星期四 ,21℃,14℃,多云转阴,东南风~东北风 3-4级~4-5级
229,2013-04-19 星期五 ,15℃,10℃,多云转阴,东北风 4-5级
230,2013-04-20 星期六 ,13℃,10℃,中雨转小雨,东北风 3-4级~4-5级
231,2013-04-21 星期日 ,15℃,8℃,阴转晴,东北风 4-5级~3-4级
232,2013-04-22 星期一 ,18℃,9℃,晴转小雨,东风~东南风 3-4级~4-5级
233,2013-04-23 星期二 ,20℃,14℃,大雨转小雨,东南风~南风 4-5级~3-4级
234,2013-04-24 星期三 ,22℃,14℃,阴转多云,西北风~北风 3-4级
235,2013-04-25 星期四 ,26℃,13℃,多云,东南风~南风 小于3级
236,2013-04-26 星期五 ,25℃,12℃,晴,西北风~南风 3-4级
237,2013-04-27 星期六 ,26℃,14℃,晴,南风 3-4级~4-5级
238,2013-04-28 星期日 ,26℃,16℃,晴转多云,南风 4-5级
239,2013-04-29 星期一 ,28℃,18℃,多云转小雨,南风~东北风 4-5级
240,2013-04-30 星期二 ,18℃,14℃,中雨,东北风 4-5级
241,2013-05-01 星期三 ,22℃,12℃,多云转晴,北风 3-4级
242,2013-05-02 星期四 ,22℃,13℃,晴转多云,东北风~东风 3-4级
243,2013-05-03 星期五 ,24℃,14℃,晴转多云,东南风 小于3级
244,2013-05-04 星期六 ,25℃,15℃,晴,东南风 3-4级
245,2013-05-05 星期日 ,24℃,16℃,多云,东风~东南风 3-4级
246,2013-05-06 星期一 ,23℃,16℃,多云转小雨,东南风 3-4级
247,2013-05-07 星期二 ,22℃,17℃,小雨,东南风 3-4级
248,2013-05-08 星期三 ,20℃,17℃,小雨转中雨,东南风 3-4级
249,2013-05-09 星期四 ,22℃,18℃,小雨转中雨,东南风~南风 3-4级
250,2013-05-10 星期五 ,26℃,19℃,小雨,南风~西北风 3-4级
251,2013-05-11 星期六 ,29℃,18℃,阴转多云,东风~西南风 3-4级
252,2013-05-12 星期日 ,30℃,19℃,晴,西南风~南风 3-4级
253,2013-05-13 星期一 ,30℃,19℃,晴,南风~东南风 3-4级
254,2013-05-14 星期二 ,29℃,20℃,晴转多云,东南风 3-4级
255,2013-05-15 星期三 ,24℃,21℃,阴转小雨,东南风~东风 3-4级
256,2013-05-16 星期四 ,21℃,19℃,暴雨转大雨,东风~东南风 3-4级~4-5级
257,2013-05-17 星期五 ,22℃,19℃,小雨,东风~东北风 4-5级~3-4级
258,2013-05-18 星期六 ,22℃,19℃,小雨转中雨,东风~东南风 3-4级
259,2013-05-19 星期日 ,27℃,19℃,小雨转阴,西北风~北风 3-4级
260,2013-05-20 星期一 ,29℃,19℃,多云,西南风~东南风 小于3级~3-4级
261,2013-05-21 星期二 ,30℃,21℃,多云转晴,东南风 3-4级
262,2013-05-22 星期三 ,29℃,20℃,多云,东南风 3-4级
263,2013-05-23 星期四 ,27℃,21℃,多云转阴,东南风~东风 3-4级
264,2013-05-24 星期五 ,26℃,21℃,阴转多云,东南风 3-4级
265,2013-05-25 星期六 ,29℃,22℃,多云转阴,东南风 4-5级
266,2013-05-26 星期日 ,26℃,22℃,多云转中雨,东南风 4-5级
267,2013-05-27 星期一 ,26℃,22℃,大雨转中雨,东南风~西南风 5-6级~4-5级
268,2013-05-28 星期二 ,30℃,22℃,阴转多云,西风 3-4级
269,2013-05-29 星期三 ,33℃,22℃,晴转阴,西南风~西风 3-4级
270,2013-05-30 星期四 ,25℃,20℃,中雨转小雨,东北风~东风 3-4级
271,2013-05-31 星期五 ,23℃,18℃,小雨,东风~东南风 3-4级
272,2013-06-01 星期六 ,23℃,19℃,小雨,东南风~东北风 小于3级
273,2013-06-02 星期日 ,24℃,19℃,小雨转阴,东北风 小于3级~3-4级
274,2013-06-03 星期一 ,28℃,18℃,多云,东北风~东风 3-4级
275,2013-06-04 星期二 ,28℃,20℃,晴转多云,东风 3-4级~4-5级
276,2013-06-05 星期三 ,27℃,21℃,多云,东南风 3-4级
277,2013-06-06 星期四 ,28℃,22℃,多云,东南风 4-5级
278,2013-06-07 星期五 ,24℃,21℃,小雨转暴雨,东南风 4-5级
279,2013-06-08 星期六 ,23℃,20℃,大雨转小雨,东风~东北风 5-6级~4-5级
280,2013-06-09 星期日 ,24℃,20℃,小雨,西北风 3-4级
281,2013-06-10 星期一 ,24℃,20℃,小雨,北风 3-4级
282,2013-06-11 星期二 ,26℃,20℃,阴转小雨,北风 3-4级
283,2013-06-12 星期三 ,25℃,20℃,小雨转阴,西北风~东北风 3-4级
284,2013-06-13 星期四 ,24℃,20℃,阴,东北风 3-4级
285,2013-06-14 星期五 ,24℃,20℃,小雨转中雨,东风 3-4级
286,2013-06-15 星期六 ,26℃,21℃,小雨,东风~东南风 3-4级
287,2013-06-16 星期日 ,29℃,23℃,阴转小雨,东风~东南风 3-4级
288,2013-06-17 星期一 ,34℃,25℃,阴转中雨,南风 3-4级
289,2013-06-18 星期二 ,35℃,26℃,多云转中雨,西南风 小于3级
290,2013-06-19 星期三 ,32℃,26℃,阴转大雨,西南风~东北风 小于3级~3-4级
291,2013-06-20 星期四 ,30℃,25℃,阴,东北风 3-4级
292,2013-06-21 星期五 ,29℃,24℃,阴转多云,东北风 3-4级
293,2013-06-22 星期六 ,30℃,23℃,多云,东北风~东风 3-4级
294,2013-06-23 星期日 ,28℃,25℃,小雨转大雨,东南风~西南风 3-4级
295,2013-06-24 星期一 ,28℃,24℃,中雨,西北风~东风 3-4级
296,2013-06-25 星期二 ,28℃,24℃,小雨转大雨,东风 3-4级
297,2013-06-26 星期三 ,28℃,23℃,中雨转阴,北风~东北风 3-4级
298,2013-06-27 星期四 ,24℃,22℃,大雨转暴雨,东风~东南风 3-4级
299,2013-06-28 星期五 ,27℃,21℃,阵雨转小雨,东风 3-4级
300,2013-06-29 星期六 ,29℃,22℃,小雨,东风~东南风 3-4级
301,2013-06-30 星期日 ,29℃,23℃,阴转小雨,东南风 3-4级
302,2013-07-01 星期一 ,35℃,26℃,多云,南风 3-4级
303,2013-07-02 星期二 ,38℃,28℃,多云转晴,南风~西南风 3-4级~4-5级
304,2013-07-03 星期三 ,38℃,29℃,晴,西南风 4-5级
305,2013-07-04 星期四 ,37℃,29℃,多云,西南风 3-4级
306,2013-07-05 星期四 ,36℃,28℃,多云转雷阵雨,西南风 4-5级
307,2013-07-06 星期六 ,31℃,26℃,大雨转小雨,西北风~东南风 3-4级
308,2013-07-07 星期日 ,34℃,26℃,阴转多云,南风~西南风 3-4级~4-5级
309,2013-07-08 星期一 ,36℃,28℃,多云,南风~西南风 4-5级
310,2013-07-09 星期二 ,37℃,29℃,多云,南风 4-5级
311,2013-07-10 星期三 ,38℃,29℃,晴,南风 3-4级
312,2013-07-11 星期四 ,38℃,28℃,晴,南风 小于3级~3-4级
313,2013-07-12 星期五 ,35℃,27℃,晴,东南风 小于3级~3-4级
314,2013-07-13 星期六 ,33℃,27℃,多云转阵雨,东南风 4-5级
315,2013-07-14 星期日 ,34℃,28℃,多云,东南风 4-5级~5-6级
316,2013-07-15 星期一 ,35℃,28℃,晴转多云,南风 4-5级
317,2013-07-16 星期二 ,36℃,28℃,多云,南风 4-5级
318,2013-07-17 星期三 ,37℃,28℃,晴,南风 4-5级~3-4级
319,2013-07-18 星期四 ,35℃,28℃,晴,南风 3-4级
320,2013-07-19 星期五 ,35℃,28℃,晴转多云,南风 4-5级
321,2013-07-20 星期六 ,35℃,28℃,晴转多云,南风 4-5级~3-4级
322,2013-07-21 星期日 ,34℃,28℃,多云转雷阵雨,南风 3-4级
323,2013-07-22 星期一 ,36℃,28℃,多云,南风~西南风 3-4级
324,2013-07-23 星期二 ,38℃,28℃,晴,西南风 3-4级~4-5级
325,2013-07-24 星期三 ,39℃,30℃,晴,西南风 3-4级
326,2013-07-25 星期四 ,39℃,30℃,晴转多云,南风~西风 3-4级
327,2013-07-26 星期五 ,39℃,31℃,多云,南风~西南风 小于3级
328,2013-07-27 星期六 ,39℃,30℃,多云转雷阵雨,南风~西南风 小于3级~3-4级
329,2013-07-28 星期日 ,38℃,29℃,多云转雷阵雨,南风~西南风 3-4级
330,2013-07-29 星期一 ,39℃,30℃,多云转晴,西风~西南风 3-4级
331,2013-07-30 星期二 ,39℃,31℃,多云,西南风 3-4级
332,2013-07-31 星期三 ,39℃,30℃,晴转多云,南风 3-4级
333,2013-09-01 星期日 ,29℃,23℃,多云,北风~东北风 3-4级
334,2013-09-02 星期一 ,29℃,23℃,多云,东北风 4-5级
335,2013-09-03 星期二 ,30℃,24℃,多云,东北风~北风 4-5级
336,2013-09-04 星期三 ,29℃,23℃,多云,东北风 4-5级
337,2013-09-05 星期四 ,27℃,22℃,多云转小雨,东北风 3-4级
338,2013-09-06 星期五 ,24℃,21℃,小雨,东北风~北风 小于3级~3-4级
339,2013-09-07 星期六 ,25℃,21℃,小雨,东北风 小于3级
340,2013-09-08 星期日 ,27℃,22℃,阴转小雨,东北风 3-4级
341,2013-09-09 星期一 ,31℃,24℃,多云,东北风~东南风 3-4级
342,2013-09-10 星期二 ,33℃,25℃,多云,东南风 3-4级
343,2013-09-11 星期三 ,32℃,25℃,多云转雷阵雨,南风~东南风 3-4级
344,2013-09-12 星期四 ,33℃,25℃,多云,东风~东南风 3-4级
345,2013-09-13 星期五 ,34℃,26℃,多云转雷阵雨,东南风~南风 小于3级~3-4级
346,2013-09-14 星期六 ,30℃,25℃,雷阵雨转阵雨,南风 3-4级
347,2013-09-15 星期日 ,31℃,24℃,多云,东北风 3-4级
348,2013-09-16 星期一 ,31℃,24℃,晴,东北风 3-4级
349,2013-09-17 星期二 ,29℃,22℃,晴,东北风~东风 3-4级~4-5级
350,2013-09-18 星期三 ,30℃,24℃,多云转晴,东风 4-5级
351,2013-09-19 星期四 ,31℃,24℃,晴转多云,东风 3-4级
352,2013-09-20 星期五 ,29℃,24℃,多云转小雨,东风 3-4级
353,2013-09-21 星期六 ,29℃,25℃,小雨转阵雨,东风 4-5级
354,2013-09-22 星期日 ,29℃,25℃,阵雨,东风 4-5级
355,2013-09-23 星期一 ,31℃,26℃,阵雨转多云,东南风 4-5级
356,2013-09-24 星期二 ,31℃,25℃,多云,东南风 4-5级~3-4级
357,2013-09-25 星期三 ,26℃,21℃,中雨转小雨,北风 4-5级
